term	crse	class section	descr	min credit	max credit	start dt	end dt	days	start time	end time	newlibintensives	newlib	consent	instruction mode	cap	enrolled	combined section	note	class stat	enrolling	prereqs
Spring, 2025-26	CMIN-3050-0E	0E	Homiletics (23)	3.0	3.0	01/14/2026	05/08/2026				Speaking Intensive		No Consent Required	Asynchronous Online	30	3			active	Open	
Spring, 2025-26	CMIN-3340-0E	0E	The Community of Faith in an Urban Culture (24)	3.0	3.0	01/14/2026	05/08/2026						No Consent Required	Asynchronous Online	35	5	C		active	Open	
Spring, 2025-26	CMIN-3910-01	01	Ministry Seminar (24)	3.0	3.0	01/14/2026	05/08/2026	TR	02:30PM	03:45PM	Speaking Intensive		No Consent Required	In Person	35	7			active	Open	
Spring, 2025-26	CMIN-3910-0B	0B	Ministry Seminar (24)	3.0	3.0	01/14/2026	05/08/2026				Speaking Intensive		No Consent Required	Asynchronous Online	35	7			active	Open	
Spring, 2025-26	CMIN-4250-0E	0E	Theology in a Ministry Context (23)	3.0	3.0	01/14/2026	05/08/2026				Writing Intensive Upper Div		No Consent Required	Asynchronous Online	20	7			active	Open	
Spring, 2025-26	CMIN-4810-01	01	Internship (23)	1.0	4.0	01/14/2026	05/08/2026						No Consent Required	Asynchronous Online	15	1	C	Same: THFE7810/CMIN4810	active	Open	
Spring, 2025-26	CMIN-4810-02	02	Internship (23)	1.0	4.0	01/14/2026	05/08/2026						Not Enrolling	In Person	15	2	C	Same: THFE7810/CMIN4810	active	Closed	
Spring, 2025-26	COMM-1000-01	01	Introduction to Speech Communication (23)	3.0	3.0	01/14/2026	05/08/2026	TR	01:00PM	02:15PM		FSKL 4 Speaking/Listening	No Consent Required	In Person	22	17			active	Open	
Spring, 2025-26	COMM-1000-02	02	Introduction to Speech Communication (23)	3.0	3.0	01/14/2026	05/08/2026	TR	02:30PM	03:45PM		FSKL 4 Speaking/Listening	No Consent Required	In Person	22	9			active	Open	
Spring, 2025-26	COMM-1000-03	03	Introduction to Speech Communication (23)	3.0	3.0	01/14/2026	05/08/2026	MWF	11:00AM	11:50AM		FSKL 4 Speaking/Listening	No Consent Required	In Person	28	26			active	Open	
Spring, 2025-26	COMM-1000-04	04	Introduction to Speech Communication (23)	3.0	3.0	01/14/2026	05/08/2026	MWF	02:00PM	02:50PM		FSKL 4 Speaking/Listening	No Consent Required	In Person	26	24			active	Open	
Spring, 2025-26	COMM-2000-01	01	Media and Society (23)	3.0	3.0	01/14/2026	05/08/2026	MWF	09:00AM	09:50AM			No Consent Required	In Person	25	12			active	Open	
Spring, 2025-26	COMM-2020-01	01	Audio Concepts and Production (23)	3.0	3.0	01/14/2026	05/08/2026	TR	01:00PM	02:15PM			No Consent Required	In Person	20	7			active	Open	
Spring, 2025-26	COMM-2130-01	01	Writing for the Media (23)	3.0	3.0	01/14/2026	05/08/2026	TR	01:00PM	02:15PM	Writing Intensive		No Consent Required	In Person	20	8			active	Open	
Spring, 2025-26	COMM-2160-01	01	The Art of Storytelling (23)	3.0	3.0	01/14/2026	05/08/2026	TR	02:30PM	03:45PM	Writing Intensive		No Consent Required	In Person	30	11			active	Open	
Spring, 2025-26	COMM-2200-01	01	Visual Communication (23)	3.0	3.0	01/14/2026	05/08/2026	F	11:00AM	11:50AM			No Consent Required	In Person	10	8			active	Open	
Spring, 2025-26	COMM-2200-01	01	Visual Communication (23)	3.0	3.0	01/14/2026	05/08/2026	F	11:00AM	11:50AM			No Consent Required	In Person	10	8		laboratory	active	Open	
Spring, 2025-26	COMM-2200-01	01	Visual Communication (23)	3.0	3.0	01/14/2026	05/08/2026	MW	11:00AM	11:50AM			No Consent Required	In Person	10	8			active	Open	
Spring, 2025-26	COMM-2320-01	01	Multicamera and Studio Production (23)	4.0	4.0	01/14/2026	05/08/2026	MWF	01:00PM	02:50PM			No Consent Required	In Person	20	12			active	Open	
Spring, 2025-26	COMM-2850-01	01	Andersonian Staff (23)	1.0	1.0	01/14/2026	05/08/2026	R	12:00PM	12:50PM			No Consent Required	In Person	35	8			active	Open	
Spring, 2025-26	COMM-2860-01	01	Black Bird Media Lab (23)	1.0	1.0	01/14/2026	05/08/2026	W	03:00PM	04:50PM			No Consent Required	In Person	30	13			active	Open	
Spring, 2025-26	COMM-3050-01	01	Global Communication (24)	3.0	3.0	01/14/2026	05/08/2026	T	09:30AM	10:45AM		WKNW 6 Glob/Intcult Ways FL	No Consent Required	In Person	25	20			active	Open	
Spring, 2025-26	COMM-3370-8E	8E	Communicating through Social Media (23)	3.0	3.0	03/16/2026	05/08/2026						No Consent Required	Asynchronous Online	25	15			active	Open	
Spring, 2025-26	COMM-3860-01	01	Practicum Event Management (23)	1.0	2.0	01/14/2026	05/08/2026						No Consent Required	Asynchronous Online	25	2	C	Same: COMM/BSNS3860	active	Open	
Spring, 2025-26	COMM-4800-01	01	Internship (23)	1.0	4.0	01/14/2026	05/08/2026						No Consent Required	Asynchronous Online	15	1			active	Open	
Spring, 2025-26	COMM-4800-02	02	Internship (23)	1.0	4.0	01/14/2026	05/08/2026						No Consent Required	Asynchronous Online	15	0			active	Open	
Spring, 2025-26	COMM-4800-03	03	Internship (23)	1.0	4.0	01/14/2026	05/08/2026						No Consent Required	Asynchronous Online	15	0			active	Open	
Spring, 2025-26	CPSC-2020-01	01	Fundamentals of Computational Thinking and Programming (23)	4.0	4.0	01/14/2026	05/08/2026	MWF	10:00AM	10:50AM		FSKL 5 Quant Reasng	No Consent Required	In Person	24	15			active	Open	
Spring, 2025-26	CPSC-2020-01	01	Fundamentals of Computational Thinking and Programming (23)	4.0	4.0	01/14/2026	05/08/2026	R	09:00AM	10:50AM		FSKL 5 Quant Reasng	No Consent Required	In Person	24	15			active	Open	
Spring, 2025-26	CPSC-2030-01	01	Object-Oriented Analysis and Design (25)	4.0	4.0	01/14/2026	05/08/2026						No Consent Required	Asynchronous Online	24	12			active	Open	
Spring, 2025-26	CPSC-2250-01	01	Discrete Mathematical Structures (23)	4.0	4.0	01/14/2026	05/08/2026	MTRF	08:00AM	08:50AM			No Consent Required	In Person	30	5	C	Same: MATH2200/CPSC2250	active	Open	
